STE_PBGS,STE_EWGS,STE_ATanh,PBGS_STE,EWGS_STE,ATanh_STE,Acos_STE,ATanh_EWGS,PBGS_ATanh,EWGS_ATanh
0.66050,0.65770,0.65890,0.65540,0.66730,0.66280,0.65850,0.65820,0.66490,0.66190
0.65480,0.65190,0.65640,0.65740,0.65620,0.66160,0.65820,0.66160,0.65690,0.66540
0.66210,0.65840,0.65980,0.66110,0.66570,0.66420,0.65890,0.66390,0.66340,0.66570
0.65850,0.66050,0.65620,0.66460,0.65840,0.66180,0.65280,0.66490,0.65930,0.66060
0.65430,0.65400,0.65740,0.65610,0.66280,0.66290,0.66230,0.66180,0.65720,0.65930
0.65610,0.65820,0.65640,0.65980,0.66020,0.66030,0.65920,0.65950,0.65870,0.66370
0.65870,0.66280,0.65760,0.65720,0.66230,0.65740,0.66180,0.66760,0.66110,0.66160
0.65400,0.65850,0.65890,0.66100,0.66080,0.66110,0.66110,0.66180,0.65920,0.66210
0.66230,0.65920,0.66150,0.65840,0.67200,0.65920,0.65560,0.66190,0.65930,0.66720
0.65930,0.65620,0.66080,0.65610,0.66050,0.66340,0.65270,0.65930,0.66340,0.66460
0.66370,0.65820,0.65060,0.65800,0.66490,0.66460,0.66080,0.66830,0.65970,0.66490
0.65710,0.65620,0.65900,0.65560,0.66420,0.66590,0.65870,0.65890,0.65760,0.67010
0.65760,0.66150,0.66020,0.65890,0.65980,0.66150,0.66240,0.66470,0.66280,0.66420
0.65900,0.66240,0.66290,0.65930,0.66240,0.66570,0.66130,0.66280,0.66180,0.66500
0.65560,0.66050,0.66650,0.65900,0.66360,0.66460,0.65900,0.66620,0.66060,0.66490
0.65850,0.66020,0.66420,0.66420,0.66260,0.66130,0.65850,0.66150,0.66190,0.66360
0.65410,0.65660,0.66540,0.65690,0.66390,0.65900,0.65950,0.66910,0.65930,0.66180
0.65230,0.66190,0.65840,0.66290,0.67120,0.65820,0.65890,0.66550,0.65020,0.66460
0.66020,0.66310,0.66340,0.65800,0.66730,0.66880,0.66240,0.65720,0.65820,0.66410
0.66030,0.66280,0.66190,0.66000,0.66360,0.66410,0.66150,0.66360,0.65530,0.66600
